stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
5530,,LOUREIRO DA SILVA DF 1995,,-30.034924,-51.222386
5529,,LOUREIRO DA SILVA DF 515,,-30.037055,-51.234314
1512,,LOUREIRO DA SILVA DF,,-30.036953,-51.235244
5527,,LOUREIRO DA SILVA DF,,-30.036881,-51.236184
1511,,LOUREIRO DA SILVA NN515,,-30.037286,-51.236374
5432,,SILVA SO 355,,-30.04041,-51.204023
2299,,GOETHE EF HABBIB'S,,-30.027952,-51.19969
4949,,BERNARDINO SILVEIRA DE AMORIM DF 3875,,-30.005795,-51.092222
4922,,BERNARDINO SILVEIRA DE AMORIM DF 3200,,-30.004485,-51.099082
4928,,BERNARDINO SILVEIRA DE AMORIM 2825,,-30.002986,-51.100731
4874,,BERNARDINO SILVEIRA DE AMORIM 2071,,-29.996466,-51.107062
6144,,BERNARDINO SILVEIRA DE AMORIM DF 1990,,-29.999265,-51.106564
4877,,BERNARDINO SILVEIRA DE AMORIM DF 1370,,-29.992618,-51.108387
4864,,BERNARDINO SILVEIRA DE AMORIM DF 334,,-29.983877,-51.112061
5023,,BERNARDINO SILVEIRA DE AMORIM DF 235,,-29.982678,-51.112735
4937,,MAURICIO SELIGMAN 527,,-30.007238,-51.095086
4658,,DELEGADO ELY CORREA PRADO DF 45,,-30.040886,-51.104407
4661,,DELEGADO ELY CORREA PRADO 150,,-30.038798,-51.104379
4662,,DELEGADO ELY CORREA PRADO 327,,-30.038241,-51.104268
6235,,RICARDO LEONIDAS RIBAS 75,,-30.146958,-51.131637
6234,,SETE MIL CENTO VINTE CINCO 760,,-30.145226,-51.133023
2843,,MONTENEGRO 37,,-30.041779,-51.17972
1393,,ORFANOTROFIO 750,,-30.080749,-51.219539
1394,,ORFANOTROFIO NN 555,,-30.079999,-51.218819
2422,,RINCAO 233,,-30.115022,-51.163869
2477,,RINCAO 71,,-30.114138,-51.165928
5978,,SARGENTO MANOEL ARRUDA 364,,-30.046874,-51.146404
2756,,PITORESCA DF POSTO DE SAUD,,-30.071013,-51.155474
5681,,VICENTE MONTEGGIA 1029,,-30.102394,-51.223413
6158,,PASSO DAS PEDRAS DF 133,,-30.019722,-51.125765
2794,,IPIRANGA 7464,,-30.055467,-51.16283
6233,,DIARIO DE NOTICIAS DF 700,,-30.090216,-51.24874
832,,DIARIO DE NOTICIAS 700,,-30.090204,-51.24865
6096,,GAURAMA 197,,-30.09885,-51.228414
6232,,DR ANTONIO MAZZAFERRO NETO DF 730,,-30.157091,-51.173725
5071,,DR ANTONIO MAZZAFERRO NETO 740,,-30.157093,-51.173777
6231,,DR ANTONIO MAZZAFERRO NETO AL 506,,-30.158782,-51.173787
6230,,DR ANTONIO MAZZAFERRO NETO AL 173,,-30.162236,-51.17373
1240,,NONOAI 100,,-30.085288,-51.214867
707,,CAVALHADA 5793,,-30.127064,-51.222781
6208,,JOAO ANTONIO SILVEIRA AL 7626,,-30.134996,-51.095868
3187,,ALBERTO NEPOMUCENO 75,,-30.056229,-51.143826
6228,,INDIANA 180,,-30.021906,-51.154851
6225,,TULIO DE ROSE 330,,-30.022651,-51.158935
6227,,TULIO DE ROSE 260,,-30.022725,-51.16052
5737,,VEREADOR TEREZIO MEIRELES DF 316,,-30.024888,-51.11741
4672,,POA-CIDADE JOIA DF 381,,-30.023882,-51.115646
4696,,MARTIM FELIX BERTA DF 1881,,-30.030919,-51.107076
847,,DIARIO DE NOTICIAS ,,-30.082105,-51.246667
848,,DIARIO DE NOTICIAS 300,,-30.081924,-51.246536
168,,LAMI 5988,,-30.216485,-51.1212
844,,ICARAI AL 1368,,-30.091037,-51.241935
842,,ICARAI DF 1368,,-30.09098,-51.242005
