stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
401689,"1 AV/E 20 ST",,  40.735092, -73.979721,,,0,
401690,"1 AV/E 23 ST",,  40.737034, -73.978317,,,0,
401691,"1 AV/E 25 ST",,  40.738472, -73.977234,,,0,
401696,"1 AV/E 36 ST",,  40.745293, -73.972260,,,0,
401697,"1 AV/E 39 ST",,  40.747158, -73.970894,,,0,
401698,"1 AV/E 42 ST",,  40.749275, -73.969398,,,0,
401699,"1 AV/E 45 ST",,  40.750664, -73.968407,,,0,
401701,"1 AV/MITCHELL PL",,  40.753559, -73.966232,,,0,
401702,"1 AV/E 52 ST",,  40.755371, -73.964920,,,0,
401703,"1 AV/E 55 ST",,  40.757229, -73.963554,,,0,
401704,"1 AV/E 57 ST",,  40.758564, -73.962585,,,0,
401706,"1 AV/E 64 ST",,  40.762943, -73.959389,,,0,
401707,"1 AV/E 67 ST",,  40.764832, -73.958015,,,0,
401708,"1 AV/E 70 ST",,  40.766705, -73.956642,,,0,
401709,"1 AV/E 72 ST",,  40.768055, -73.955658,,,0,
401710,"1 AV/E 75 ST",,  40.769955, -73.954269,,,0,
401711,"1 AV/E 77 ST",,  40.771233, -73.953346,,,0,
401712,"1 AV/E 79 ST",,  40.772610, -73.952339,,,0,
401715,"1 AV/E 86 ST",,  40.777134, -73.949036,,,0,
401716,"1 AV/E 89 ST",,  40.779011, -73.947662,,,0,
401718,"1 AV/E 93 ST",,  40.781536, -73.945816,,,0,
401721,"1 AV/E 99 ST",,  40.785419, -73.942986,,,0,
401722,"1 AV/E 102 ST",,  40.787323, -73.941597,,,0,
401723,"1 AV/E 105 ST",,  40.789761, -73.939621,,,0,
401724,"1 AV/E 108 ST",,  40.791618, -73.938324,,,0,
401725,"1 AV/E 111 ST",,  40.793076, -73.937401,,,0,
401726,"1 AV/E 113 ST",,  40.794296, -73.936508,,,0,
401727,"1 AV/E 116 ST",,  40.796299, -73.935043,,,0,
401728,"1 AV/E 118 ST",,  40.797531, -73.934143,,,0,
401729,"1 AV/E 120 ST",,  40.798897, -73.933136,,,0,
401730,"1 AV/PALADINO AV",,  40.800320, -73.932098,,,0,
401731,"1 AV/E 125 ST",,  40.801575, -73.931183,,,0,
401732,"E 126 ST/2 AV",,  40.803230, -73.932449,,,0,
